playlist_id,track_id
1,1
8,1
17,1
1,2
8,2
17,2
1,3
5,3
8,3
17,3
1,4
5,4
8,4
17,4
1,5
5,5
8,5
17,5
1,6
8,6
1,7
8,7
1,8
8,8
1,9
8,9
1,10
8,10
1,11
8,11
1,12
8,12
1,13
8,13
1,14
8,14
1,15
8,15
1,16
8,16
1,17
8,17
1,18
8,18
1,19
8,19
1,20
8,20
1,21
8,21
1,22
8,22
1,23
5,23
8,23
1,24
5,24
8,24
1,25
5,25
8,25
1,26
5,26
8,26
1,27
5,27
8,27
1,28
5,28
8,28
1,29
5,29
8,29
1,30
5,30
8,30
1,31
5,31
8,31
1,32
5,32
8,32
1,33
5,33
8,33
1,34
5,34
8,34
1,35
5,35
8,35
1,36
5,36
8,36
1,37
5,37
8,37
1,38
5,38
8,38
1,39
5,39
8,39
1,40
5,40
8,40
1,41
5,41
8,41
1,42
5,42
8,42
1,43
5,43
8,43
1,44
5,44
8,44
1,45
5,45
8,45
1,46
5,46
8,46
1,47
5,47
8,47
1,48
5,48
8,48
1,49
5,49
8,49
1,50
5,50
8,50
1,51
5,51
8,51
1,52
5,52
8,52
16,52
1,53
5,53
8,53
1,54
5,54
8,54
1,55
5,55
8,55
1,56
5,56
8,56
1,57
5,57
8,57
1,58
5,58
8,58
1,59
5,59
8,59
1,60
5,60
8,60
1,61
5,61
8,61
1,62
5,62
8,62
1,63
8,63
1,64
8,64
1,65
8,65
1,66
8,66
1,67
8,67
1,68
8,68
1,69
8,69
1,70
8,70
1,71
8,71
1,72
8,72
1,73
8,73
1,74
8,74
1,75
8,75
1,76
8,76
1,77
5,77
8,77
1,78
5,78
8,78
1,79
5,79
8,79
1,80
5,80
8,80
1,81
5,81
8,81
1,82
5,82
8,82
1,83
5,83
8,83
1,84
5,84
8,84
1,85
8,85
1,86
8,86
1,87
8,87
1,88
8,88
1,89
8,89
1,90
8,90
1,91
8,91
1,92
8,92
1,93
8,93
1,94
8,94
1,95
8,95
1,96
8,96
1,97
8,97
1,98
8,98
1,99
8,99
1,100
8,100
1,101
8,101
1,102
8,102
1,103
8,103
1,104
8,104
1,105
8,105
1,106
8,106
1,107
8,107
1,108
8,108
1,109
8,109
1,110
8,110
1,111
5,111
8,111
1,112
5,112
8,112
1,113
5,113
8,113
1,114
5,114
8,114
1,115
5,115
8,115
1,116
5,116
8,116
1,117
5,117
8,117
1,118
5,118
8,118
1,119
5,119
8,119
1,120
5,120
8,120
1,121
5,121
8,121
1,122
5,122
8,122
1,123
8,123
1,124
8,124
1,125
8,125
1,126
8,126
1,127
8,127
1,128
8,128
1,129
8,129
1,130
8,130
1,131
8,131
1,132
8,132
1,133
8,133
1,134
8,134
1,135
8,135
1,136
8,136
1,137
8,137
1,138
8,138
1,139
8,139
1,140
8,140
1,141
8,141
1,142
8,142
1,143
8,143
